,Monthly Nominal GDP Index,Monthly Real GDP Index
2009 - Dec,14593.95899,15299.2781
2010 - Jan,14707.12018,15398.91178
2010 - Feb,14735.56245,15436.00918
2010 - Mar,14851.15037,15533.26715
2010 - Apr,14945.1957,15594.2031
2010 - May,14956.6484,15573.71634
2010 - Jun,15038.7349,15649.2109
2010 - Jul,15111.40366,15720.71743
2010 - Aug,15108.42393,15690.47474
2010 - Sep,15204.98742,15767.80722
2010 - Oct,15286.84023,15807.57749
2010 - Nov,15264.94754,15761.11335
2010 - Dec,15376.62524,15855.42131
2011 - Jan,15257.49145,15713.69414
2011 - Feb,15282.05274,15692.26131
2011 - Mar,15514.7878,15903.73668
2011 - Apr,15584.4487,15940.24741
2011 - May,15566.85327,15870.0818
2011 - Jun,15521.30303,15820.31685
2011 - Jul,15615.86296,15862.13448
2011 - Aug,15715.89791,15935.32267
2011 - Sep,15611.28213,15814.76957
2011 - Oct,15857.51713,16079.73806
2011 - Nov,15838.25631,16034.59817
2011 - Dec,15831.02756,16031.99829
2012 - Jan,15940.65648,16085.00123
2012 - Feb,16208.48721,16312.97611
2012 - Mar,16057.32831,16141.83137
2012 - Apr,16179.49133,16232.57349
2012 - May,16220.43409,16273.58535
2012 - Jun,16221.46457,16254.9869
2012 - Jul,16320.90106,16324.45059
2012 - Aug,16271.32076,16234.63404
2012 - Sep,16366.39818,16287.38382
2012 - Oct,16334.58916,16217.92692
2012 - Nov,16406.54402,16294.76466
2012 - Dec,16520.02482,16387.52553
2013 - Jan,16675.74336,16514.92461
2013 - Feb,16576.77281,16372.38465
2013 - Mar,16634.63383,16437.41777
2013 - Apr,16651.37268,16451.43006
2013 - May,16651.68004,16420.07273
2013 - Jun,16795.60029,16521.95952
2013 - Jul,16851.8899,16556.71487
2013 - Aug,16935.00191,16619.25061
2013 - Sep,16946.3122,16608.53264
2013 - Oct,17049.17152,16675.5499
2013 - Nov,17173.94334,16753.74525
2013 - Dec,17176.22714,16709.26425
2014 - Jan,17072.6541,16605.03591
2014 - Feb,17164.18711,16681.05646
2014 - Mar,17196.00179,16676.96844
2014 - Apr,17354.75571,16803.35175
2014 - May,17478.06415,16867.1599
2014 - Jun,17555.28913,16934.15884
2014 - Jul,17689.41141,17022.40393
2014 - Aug,17798.08078,17117.36074
2014 - Sep,17742.1888,17054.43878
2014 - Oct,17845.42227,17142.93257
2014 - Nov,17869.18133,17151.79412
2014 - Dec,17843.0164,17129.30059
2015 - Jan,17927.08178,17274.73477
2015 - Feb,18058.51525,17353.58436
2015 - Mar,17988.44696,17213.75539
2015 - Apr,18148.70022,17389.54895
2015 - May,18179.29443,17349.77882
2015 - Jun,18253.12634,17403.51044
2015 - Jul,18275.40039,17403.97079
2015 - Aug,18283.92789,17407.66602
2015 - Sep,18361.55173,17499.9371
2015 - Oct,18355.38069,17488.01373
2015 - Nov,18294.17106,17422.41305
2015 - Dec,18346.68525,17477.62378
2016 - Jan,18396.94249,17548.10375
2016 - Feb,18361.57707,17517.7857
2016 - Mar,18517.39844,17630.83661
2016 - Apr,18604.7447,17643.86692
2016 - May,18585.63439,17588.87336
2016 - Jun,18644.47191,17623.1511
2016 - Jul,18663.91445,17631.49454
2016 - Aug,18776.06629,17739.19503
2016 - Sep,18886.39625,17802.69967
2016 - Oct,18858.99632,17736.19871
2016 - Nov,18983.39629,17834.71328
2016 - Dec,19061.73039,17866.75842
2017 - Jan,19085.89565,17844.63148
2017 - Feb,19133.28131,17871.66938
2017 - Mar,19225.40504,17951.13045
2017 - Apr,19173.89046,17869.62723
2017 - May,19310.0595,17990.15203
2017 - Jun,19429.56804,18078.12548
2017 - Jul,19444.30075,18062.10833
2017 - Aug,19539.2794,18118.45513
2017 - Sep,19702.10785,18203.67684
2017 - Oct,19754.08472,18200.69647
2017 - Nov,19910.4925,18333.14357
2017 - Dec,20019.67278,18397.35442
2018 - Jan,20050.96406,18382.65973
2018 - Feb,20203.2939,18486.52089
2018 - Mar,20212.20004,18442.46896
2018 - Apr ,20359.73274,18513.2169
2018 - May,20489.70022,18574.66281
2018 - Jun,20561.15805,18609.49685
2018 - Jul,20615.52492,18643.3542
2018 - Aug,20711.50108,18737.1939
2018 - Sep,20734.808,18719.03344
2018 - Oct,20816.74012,18735.63931
2018 - Nov,20790.13245,18695.31799
2018 - Dec,20850.93443,18770.61122
2019 - Jan,20979.1054,18835.01997
2019 - Feb,20997.57309,18828.23268
2019 - Mar,21062.57651,18843.31356
2019 - Apr,21200.85101,18910.80409
2019 - May,21240.88215,18926.53818
2019 - Jun,21375.61084,19049.45658
2019 - Jul,21491.43609,19101.15225
2019 - Aug,21533.74265,19130.45744
